a
abans
abans-d'ahir
abintestat
ací
açò
adàgio
adés
adesiara
adéu
àdhuc
ah
ahir
ai
aitambé
aitampoc
aitan
aitant
aitantost
aixà
així
això
al·legro
alça
aleshores
algú
algun
alguna
algunes
alguns
alhora
àlies
allà
allèn
allí
allò
almenys
alto
altra
altre
altres
altresí
altri
amargament
amb
ambdós
ambdues
amén
amunt
anar
anc
andante
andantino
anit
ans
antany
apa
aprés
aqueix
aqueixa
aqueixes
aqueixos
aqueixs
aquell
aquella
aquelles
aquells
aquèn
aquest
aquesta
aquestes
aquests
aquí
ara
arran
arrera
arrere
arreu
arri
arruix
atxim
au
avall
avant
aviat
avui
bah
baix
baldament
ballmanetes
banzim-banzam
bastant
"bastant 	"
bastants
bé
ben
bis
bitllo-bitllo
bo
ca
ça
cada
cal
cap
car
caram
catorze
cent
centes
cents
cerca
cert
certa
certes
certs
cinc
cinquanta
cinquè
cinquena
cinquenes
cinquens
ço
com
comsevulla
consegueixo
conseguim
conseguir
consigueix
consigueixen
consigueixes
contra
cordons
corrents
cric-crac
d
daixò
daixonses
dallò
dallonses
dalt
daltabaix
damunt
darrera
darrere
davall
davant
de
debades
deçà
dedins
defora
dejorn
dejús
dellà
demà
dementre
demés
dempeus
des
des de
desè
desena
desenes
desens
després
dessobre
dessota
dessús
deu
devers
devora
diferents
dinou
dins
dintre
disset
divers
diversa
diverses
diversos
divuit
doncs
dos
dotze
dues
durant
ecs
eh
el
ela
elis
ell
ella
elles
ells
els
em
emperò
en
enans
enant
ençà
encara
encontinent
endalt
endarrera
endarrere
endavant
endebades
endemà
endemés
endemig
endins
endintre
enfora
engir
enguany
enguanyasses
enjús
enlaire
enllà
enlloc
enrera
enrere
ens
ensems
ensota
ensús
entorn
entre
entremig
entretant
entrò
envers
envides
enviró
environs
ep
era
erem
érem
eren
eres
éreu
ergo
es
és
escar
essent
éssent
esser
ésser
est
esta
està
estada
estades
estan
estant
estar
estarà
estaran
estaràs
estaré
estarem
estareu
estaria
estaríem
estarien
estaries
estaríeu
estàs
estat
estats
estava
estàvem
estaven
estaves
estàveu
estem
estes
esteu
estic
estigué
estiguem
estiguérem
estigueren
estigueres
estiguéreu
estigues
estigués
estiguessis
estigueu
estigui
estiguí
estiguin
estiguis
estos
et
etc
etcètera
ets
excepte
fa
faig
fan
fas
fem
"fer 	"
feu
fi
fins
fora
fóra
força
fórem
foren
fores
fóreu
fos
fóssim
fossin
fossis
fóssiu
fou
fra
fui
gaire
gairebé
gaires
gens
girientorn
gratis
ha
hagi
hàgim
hagin
hagis
hàgiu
haguda
hagudes
hagué
haguérem
hagueren
hagueres
haguéreu
hagués
haguéssim
haguessin
haguessis
haguéssiu
haguí
hagut
haguts
hala
han
has
haurà
hauran
hauràs
hauré
haurem
haureu
hauria
hauríem
haurien
hauries
hauríeu
havem
havent
haver
haveu
havia
havíem
havien
havies
havíeu
he
hem
heu
hi
ho
hom
hui
i
ídem
igual
iguals
inclòs
inclusive
ja
jamai
jo
l
la
leri-leri
les
li
lla
llarg
llavors
llevat
lluny
llur
llurs
lo
los
ls
m
ma
mai
mal
malament
malgrat
manco
mant
manta
mantes
mantinent
mants
massa
mateix
mateixa
mateixes
mateixos
me
mentre
mentrestant
menys
mes
més
meu
meua
meues
meus
meva
meves
mi
mig
mil
mitges
mitja
mitjançant
mitjos
mode
moixoni
molt
molta
moltes
molts
mon
mos
n
na
ne
ni
ningú
no
nogensmenys
només
noranta
nos
nós
nòs
nosaltres
nostra
nostre
nostres
nou
novè
novena
novenes
novens
ns
o
oh
oi
oidà
òlim
on
onsevulga
onsevulla
onze
pas
pàssim
pengim-penjam
per
per que
però
perquè
pertot
piano
pla
poc
poca
pocs
podem
poden
poder
podeu
poques
potser
prest
primer
primera
primeres
primers
pro
prompte
prop
prou
puc
puix
pus
qual
quals
qualsevol
qualsevulla
qualssevol
qualssevulla
quan
quant
quanta
quantes
quants
quaranta
quart
quarta
quartes
quarts
quasi
quatre
que
què
quelcom
qui
quin
quina
quines
quins
quinze
quisvulla
ran
re
rebé
renoi
rera
rere
res
retruc
s
sa
sabem
saben
saber
sabeu
salvament
salvant
salvat
sap
saps
se
segon
segona
segones
segons
seguida
seixanta
sempre
sengles
sens
sense
ser
serà
seran
seràs
seré
serem
sereu
seria
seríem
serien
series
seríeu
ses
set
setanta
setè
setena
setenes
setens
setze
seu
seua
seues
seus
seva
seves
si
sí
sia
siau
sic
siguem
sigues
sigueu
sigui
siguin
siguis
sinó
sis
sisè
sisena
sisenes
sisens
sobre
sobretot
soc
sóc
sol
sola
solament
soles
sols
som
son
són
sos
sota
sots
sou
sovint
suara
t
ta
tal
tals
també
tampoc
tan
tanmateix
tant
tanta
tantes
tantost
tants
te
tene
tenim
tenir
teniu
tercer
tercera
terceres
tercers
tes
teu
teua
teues
teus
teva
teves
tinc
ton
tos
tost
tostemps
tot
tota
total
totes
tothom
tothora
tots
trenta
tres
tret
tretze
tu
tururut
u
uf
ui
uix
últim
última
últimes
últims
ultra
un
una
unes
únic
única
únics
úniques
uns
up
upa
us
ús
va
vagi
vagin
vagis
vaig
vair
vam
van
vàreig
vàrem
vares
vàreu
vas
vau
vem
verbigràcia
vers
vés
vet
veu
vint
vora
vos
vós
vosaltres
vostè
vostès
vostra
vostre
vostres
vuit
vuitanta
vuitè
vuitena
vuitenes
vuitens
xano-xano
xau-xau
xec
